Scripture Index for Texts Explained, 1959
GENESIS
55:13    83
56:3    416
56:4    416
56:5    416
57:19    622
57:20    622
57:21    622
58:1    172
60:2    387
60:17    632, 753
61:5    531
62:10    405
65:17    739
65:21    498
65:22    498
65:25    498
66:1    59
66:8    84, 382
66:15    218
66:16    218
66:23    527
JEREMIAH
1:4    39
1:5    39
1:6    39
1:7    39
1:8    39
1:9    39
1:10    391
1:19    51
2:34    659
7:4    46
7:8    46
7:9    46
7:10    46
7:11    46, 59
7:12    46
7:14    46
10:14    143
10:15    143
11:20    175
15:10    51
15:15    51
15:16    51
16:16    406
20:8    51
20:9    51
20:13    51
23:29    42
25:8    44
25:9    44
25:10    44
25:11    44
25:27    43
25:28    43
25:29    43
25:32    44
25:33    44
25:34    44
25:35    44
25:36    44
27:9    390
27:10    390
31:3    48
31:4    48
31:5    48
31:6    48
31:16    48
31:31    48, 408
31:32    48, 408
31:33    48, 408
31:34    48, 408
33:20    48
33:21    48
33:22    48
35:19    49
39:15    50
39:16    50
39:17    50
39:18    50
LAMENTATIONS
3:22    631
3:23    631
3:24    631
EZEKIEL
4:6    216
13:3    390
13:6    390
17:5    214
17:6    214
17:7    214
17:8    214
17:9    214
17:10    214
17:20    214
17:21    214
18:4    761
18:20    761
18:23    661
21:21    389
21:26    105
21:27    105
26:2    309
26:3    309
26:4    309, 311
26:5    309
26:7    310
26:12    311
27:12    308
27:32    312
27:34    312
27:36    312
28:2    317
28:5    309
28:12    60
28:13    59, 60
28:14    60
28:15    60
28:16    60
28:17    60
28:18    60
29:18    310
29:19    310
29:20    310
34:10    296
35:6    659
36:10    275
36:22    631
36:23    81, 631
36:24    81
36:27    81
36:32    81
36:33    81
36:34    81
36:35    81
36:36    81
DANIEL
2:19    112
2:20    105, 112
2:21    105, 112
2:22    105
2:36    252
2:37    252
2:38    252
2:39    281, 283, 474
2:40    284
2:41    313
2:42    313
2:43    313
2:44    107, 157, 313, 314, 518
2:45    314
4:12    704
4:17    101, 248
4:20    213, 704
4:21    213
4:22    213
4:23    214
4:24    214
4:25    214
4:26    214
4:28    215
4:29    215
4:30    215
4:31    215
4:32    215
4:33    215
6:28    634
7:6    474
7:9    507
7:10    507
7:13    357, 507, 690
7:14    357, 507, 690
7:19    475
7:20    475
7:21    475, 506
7:22    690
7:23    475
7:24    475
7:25    107, 216, 475, 477, 506, 571
7:26    508
7:27    509, 690
8:10    571
8:11    107, 571
8:12    572
8:13    599
8:14    599
8:20    537
8:21    538
8:22    538
8:23    539
8:24    539, 571, 572
8:25    539, 633
8:26    633
9:17    536
9:24    283, 360
9:25    283, 342, 343, 357, 360, 391
9:26    283, 377, 391
9:27    283, 377, 391, 491
11:1    634
11:2    635
11:3    636
11:4    663
11:5    665
11:6    665
11:7    666
11:8    666
11:9    667
11:10    667
11:11    698
11:12    698
11:13    699
11:14    699
11:15    700
11:16    570, 700, 730
11:17    701
11:18    701
11:19    701
11:20    730
11:21    731
11:22    731, 756
11:23    756
11:24    757
11:25    758
11:26    758
11:31    112, 729
11:32    112, 264, 662
11:33    112, 662
11:34    112, 662
11:35    112, 662
11:36    107
11:37    107
11:38    107
11:39    107
11:41    570
12:4    524
12:7    216
HOSEA
8:7    617
13:11    182
13:14    332
JOEL
2:3    78
2:21    78
2:22    78
2:23    78
2:24    78
2:25    78
2:26    78
2:27    78
3:6    309
3:7    309
AMOS
1:9    309
1:10    309
3:7    521
8:11    80
9:9    629
MICAH
4:1    525
4:2    525
5:1    351
5:2    358
5:4    358
HABAKKUK
1:5    145
1:6    145
1:7    145
1:8    145, 474
1:9    145
ZEPHANIAH
2:3    596
3:8    336
HAGGAI
2:7    631
2:9    750
ZECHARIAH
2:8    571
8:16    528
8:23    164, 531
9:3    310
9:4    310
9:9    359, 617
9:10    617, 623
11:12    224
11:13    224
13:7    733
MALACHI
3:6    57
1 MACCABEES
1:54    728
1:55    728
1:56    728
1:57    728
1:58    728
1:59    728
MATTHEW
1:12    416
1:23    189
1:25    189
3:11    580, 581
3:12    581
4:4    368
5:5    254, 479
5:9    624
5:13    692
5:14    13
5:23    173
5:24    173
5:25    173
5:27    543
5:28    543
5:35    213
5:43    683
5:44    683
5:45    452, 683
5:46    683
5:47    683
5:48    271
6:3    286
6:4    286
6:10    7, 31, 597, 658
6:13    57
6:24    266, 398
6:25    10
6:32    683
6:33    10, 131, 336, 396, 683, 715
7:1    175
7:2    175
7:12    323
7:13    504, 521, 562
7:14    504, 521, 562
7:20    696
7:21    522, 696
7:22    403, 696
7:23    403, 696
7:24    697
7:25    697
7:26    697
7:27    697
8:20    208
8:21    273
8:22    273
9:37    301
9:38    301
10:7    714
10:8    714
10:9    714
10:10    714
10:11    715, 717
10:12    716, 754
10:13    716, 754
11:11    26
11:25    423
11:26    423
11:28    47
11:29    47
11:30    47
12:46    190
12:47    190
12:48    190
12:49    190
12:50    190
13:12    435
13:22    403
13:25    712
13:55    189
13:56    189
15:3    557
15:7    762
15:9    557, 762
15:13    522
15:14    47, 306, 522
15:24    306
16:18    378
16:19    73
16:22    484
16:23    484
16:24    723
18:15    172, 462
19:4    448
19:5    448
19:6    448
19:12    416
19:16    5
19:17    5
19:21    5, 273
19:22    5
19:23    14
19:25    14
19:26    14
20:17    733
20:18    733
20:19    733
20:28    218
21:16    528
21:28    531
21:29    531
21:30    531
21:31    531
22:21    269
22:37    337, 680
22:38    680
22:39    337, 680
22:40    680
23:15    725
23:23    682
23:24    682
23:27    488
24:1    155
24:2    155
24:3    8, 37, 335
24:7    37, 335
24:8    37, 335
24:9    8, 37
24:12    335
24:13    435
24:14    8, 37, 204, 336, 548, 619
24:15    583, 598, 730
24:17    583
24:18    583
24:21    621
24:22    621
24:30    423
24:31    352
24:34    158, 336, 519, 583
24:36    621, 740
24:37    11, 548, 582, 621, 740
24:38    11, 548, 582, 621, 740
24:39    11, 548, 582, 621, 740
24:45    191, 524, 608
24:46    191, 524, 608
24:47    191, 524, 608
25:31    158, 219
25:32    158, 219
25:33    158, 219
25:34    159, 479
25:40    50
25:46    51
26:26    379
26:27    379, 649
26:28    379, 649
26:29    649
26:30    487
26:33    503
26:34    503
26:35    503
26:41    163
26:64    508
26:70    503
26:71    503
26:72    503
26:73    503
26:74    503
26:75    503
27:9    224
27:10    224
27:24    649
27:25    649
28:16    719
28:17    719
28:18    719
28:19    192, 207, 288, 376, 580, 683, 714
28:20    192, 207, 288, 580
MARK
1:14    201
3:29    679
9:50    754
10:21    423
13:10    82
14:22    185
14:23    185
14:27    733
15:34    734
15:37    734
16:18    195
LUKE
1:19    200
1:31    616
1:32    239, 616
1:33    616
1:35    189
1:43    340
1:44    340
2:1    731
2:2    731
2:7    189
2:10    616
2:11    616
2:12    616
2:14    200, 499, 615, 743
2:22    189
3:1    489
3:2    287, 489
3:3    287, 580
3:16    580
3:18    200
3:23    416, 490
3:27    416
3:38    60
4:18    201
5:36    30
5:37    30
5:38    30
5:39    30
6:30    736
6:31    736
6:32    736
6:33    736
6:34    736
6:35    736
6:36    736
6:38    452
6:40    398
8:1    201
8:15    185
9:60    3
10:5    622, 716, 754
10:6    754
10:8    622
10:9    622
10:20    503
10:29    683
10:36    683
10:37    683
10:40    402
10:41    402
10:42    402
11:2    480
11:9    422
11:34    404
11:35    404
12:32    593
14:25    690
14:26    690
14:27    690
14:28    690
14:29    690
14:30    690
14:31    690
14:32    690
14:33    690
14:34    690
14:35    690
16:1    694
16:2    694
16:3    694
16:4    694
16:5    694
16:6    694
16:7    694
16:8    208, 694
16:9    694
16:10    694
16:11    694
16:12    694
16:13    694
16:15    90
16:23    72
17:21    343
17:26    158
17:27    158
19:14    109
19:41    619
19:42    619
19:43    619
19:44    619
20:35    415
21:20    12, 581, 654
21:21    12, 581, 654
21:22    12, 654
21:23    213
21:24    102, 213
21:25    335, 620
21:26    335, 517, 620
21:28    388
22:19    185, 380
22:28    73, 334, 411
22:29    73, 334, 411
22:30    73, 411
22:41    32
22:42    32
22:43    32, 733
22:44    32, 733
22:62    627
23:42    57
23:43    57, 70, 241
23:46    96
24:46    658
24:47    658
24:48    658
JOHN
1:3    329
1:9    61, 62
1:10    61, 62
1:11    61, 62
1:12    62
1:29    63, 240, 595, 652
1:31    287
1:32    343
3:33    247, 287, 343
1:34    343
1:46    558
2:13    491
2:19    639
2:20    639
2:21    639
2:22    639
3:10    160
3:11    160
3:12    160
3:13    26, 159
3:16    61, 63, 746
3:17    61, 63
3:21    64
3:22    288
3:23    580
4:14    369
4:34    368
4:35    301
5:1    491
5:19    247
5:28    77, 333, 345, 498, 762
5:29    77, 333, 345, 762
6:4    491
6:11    707
6:26    403
6:27    403
6:38    31
6:54    84
7:3    190
7:5    190
7:7    62
7:39    74
8:23    61
8:31    261
8:32    262, 584
8:44    178, 210, 318
10:1    723
10:2    723
10:3    368
10:8    723
10:9    723
10:10    723
10:11    364, 723
10:14    364
10:16    15, 352, 594, 750
10:22    154, 630
11:26    392
12:24    719
12:31    63, 64, 138
12:32    64
12:46    64
12:47    64
12:48    64
13:1    491
13:13    191
13:23    487
13:25    487
13:35    682
14:12    719
14:30    615
15:8    725
15:13    373
15:17    62
15:18    62
15:19    62
16:11    615
16:21    78
16:22    78
17:3    693
17:12    372
17:16    558
17:23    62
17:24    62
18:37    581
19:15    579
19:34    734
20:17    72
20:18    72
21:17    291
21:22    32
21:23    32
ACTS
1:4    288, 581
1:5    581
1:6    71
1:8    288
2:29    26
2:34    26
2:35    26
3:21    248
4:4    306
4:12    582
4:13    139
5:28    718
5:29    255
5:42    201
7:2    511
7:3    511
7:4    511
7:48    59
7:49    59
7:50    59
7:58    651
7:59    96
7:60    96
8:1    651
8:3    651
8:4    202
8:35    204
9:1    651
9:2    651
9:3    651
9:4    651
9:5    651
9:6    651
9:17    652
9:18    652
9:19    652
10:34    329, 556
10:35    329, 556
10:36    746
10:40    345
10:41    345
11:19    303
11:20    303
13:41    145
14:23    443, 444
15:28    648
15:29    648
17:6    718
17:11    307
17:16    559
17:18    559
17:26    555
18:6    653
18:9    654
18:10    654
18:11    654
18:19    655
18:20    655
18:21    655
18:24    496
18:25    496
18:26    496
18:27    496
18:28    496
19:1    655, 657
19:2    657
19:3    288, 657
19:4    288, 657
19:5    288, 657
19:6    657
19:7    657
19:8    655
19:9    655
19:10    655
19:11    657
19:13    656
19:14    656
19:15    656
19:16    656
19:17    656
19:18    656
19:19    656
19:20    656
20:18    655
20:19    655
20:20    655, 657, 658
20:21    658
20:22    658
20:23    658
20:24    658
20:25    650, 658
20:26    650, 655, 658
20:27    658
20:28    128, 339, 366, 659
20:29    659, 712
20:30    659, 712
20:31    659
20:32    660
20:33    660
20:34    660
20:35    451, 660
20:36    660
21:8    203
21:24    648
21:25    648
22:19    651
22:20    651
23:1    658
24:15    346
26:9    651
26:10    651
26:11    651
26:12    70
26:13    70
26:14    70
26:15    70
26:16    70
26:17    70
26:18    70, 366
26:19    70
26:20    70
27:35    708
28:31    211
ROMANS
1:20    328
2:10    755
2:21    530
2:29    531
3:20    234
3:22    744
3:23    677, 744
5:1    747
5:9    747
5:12    234, 331, 592, 677, 744
5:17    744
6:1    678
6:2    678
6:12    678
6:13    3
6:16    744
6:23    151, 677, 744
7:21    678
7:22    678
7:23    678
7:24    678
7:25    678
8:6    752
8:7    752
8:8    752
9:27    134
9:28    134
10:13    362, 528
10:14    362, 528
10:17    433
10:18    576
11:13    211, 654
11:17    338
11:24    338
11:33    526
12:2    254, 262, 433, 458, 519, 558
12:3    463
12:8    363
12:9    457
12:10    435
13:8    680
13:9    680
13:10    680
14:17    185, 752
14:19    752
