Scripture Index for Texts Explained, 1954
GENESIS
1:11, 12, 21    62
46:11    190
49:9    730, 753
50:1    434
50:6    511
51:15, 16    408
51:16    188, 728
52:7    670
52:11    658, 698
53:2, 3    670
53:3-9    78
54:13    157, 662
54:17    456
55:1, 2    475
55:6-9    328
57:15    668
59:21    662
60:1, 2    753, 754
60:1-3, 8    410
60:4, 8    153
60:9    153
61:1, 2    634
61:4    156
65:11, 12    94
65:25    91
66:7-9    464
66:8    222
JEREMIAH
7:4-14    479
7:16    624
8:8, 9    551
10:23    48
10:23, 24    56
16:5-7, 11-13    447
18:7-10    190
20:9    728
23:5    78
25:33    447
25:34, 35    381
26:14-16    399
31:32    433
32:34, 35    742
33:6    166, 648
33:15    78
48:10    688
51:27-29    686
EZEKIEL
3:16-21    750
3:20    721
4:6    583
9:1-6    208
9:4    190, 304
16:10    286
18:4, 20    695
21:20-22    685
21:27    479, 583
24:14    190
24:15-24    446
24:16, 17    446
Chap. 28    91
28:13-15    186, 466
28:13-18    332
28:15    186
28:15-19    586
33:1-7    750
33:8    167, 721
34:1-15    406
34:24    208
Chap. 38    542
38:4    733
38:4, 12    341
38:22, 23    616
Chap. 39    542
39:1, 2    733
39:4-7    733
DANIEL
2:35, 44, 45    584
2:44    5, 484
2:46    317
4:15-17    583
5:20    325
7:13, 14    179, 374
9:24-27    43, 383
9:26    439
10:1, 13, 20    339
10:12-21    331
11:31    444
11:40    710
12:1-3    338
12:4    751
12:7    338
12:11    338
12:12    343
12:13    87
HOSEA
14:4, 5    574
JOEL
2:32    729
3:9    686
AMOS
7:9    763
8:11    40, 454
9:11-15    149
OBADIAH
vs 16    281
vs 21    214
JONAH
3:10    190
MICAH
3:7    447
4:1-3    700
4:5    414
5:2    78
5:7    574
6:8    593
7:8, 9    753
NAHUM
1:9    328
ZEPHANIAH
2:1-3    408
2:3    327
3:8    477
3:14, 17    664
HAGGAI
2:7    652
2:7-9    701
ZECHARIAH
4:9, 10    346
8:23    732
14:1, 2    341
14:8    346
MALACHI
1:11    615
3:1, 2    380
3:1-4    341
3:6    190, 465
3:16-18    120, 121
3:17    122
MATTHEW
1:22, 23    375
1:25    70
2:2, 8, 11    317
2:22, 23    44
3:2    630
3:4    286
3:11    135, 606, 650
3:13-15    135, 649
3:16    607
3:17    682
4:1-11    486
4:4    291
4:9, 10    331
4:10    31, 318
5:3    759
5:5    631
5:6, 3    291
5:7    571
5:7, 22-24    735
5:14-16    753
5:15    15
5:43-48    666
5:48    754
6:1-4    760
6:5    623
6:7, 8    623
6:14, 15    571
6:20    671
6:22, 23    235
6:24    699
6:33    508
